IP??,??,????,TLS,????,??,??,TCP??(ms),??(MB/s)
20.82.142.108,8443,443,TRUE,DUB,Europe,Dublin,300,11.39
172.179.181.196,443,443,TRUE,SEA,North America,Seattle,202,11.39
20.91.225.232,8443,443,TRUE,ARN,Europe,Stockholm,295,11.32
20.217.216.51,2053,443,TRUE,VIE,Europe,Vienna,214,11.32
48.209.148.15,8443,443,TRUE,DUB,Europe,Dublin,339,11.19
20.217.216.51,8443,443,TRUE,VIE,Europe,Vienna,208,10.9
20.33.62.19,2083,443,TRUE,LHR,Europe,London,440,10.88
98.71.19.116,443,443,TRUE,DUB,Europe,Dublin,259,10.11
20.62.202.159,443,443,TRUE,EWR,North America,Newark,332,9.48
158.23.81.224,8443,443,TRUE,DFW,North America,Dallas,221,8.7
20.84.117.28,443,443,TRUE,EWR,North America,Newark,465,8.68
20.25.205.37,2053,443,TRUE,ORD,North America,Chicago,369,8.66
4.255.56.137,443,443,TRUE,EWR,North America,Newark,466,8.62
158.23.169.65,8443,443,TRUE,DFW,North America,Dallas,208,8.62
158.23.81.224,2053,443,TRUE,DFW,North America,Dallas,292,8.52
158.23.84.139,2053,443,TRUE,DFW,North America,Dallas,374,8.5
158.23.169.65,2053,443,TRUE,DFW,North America,Dallas,288,8.47
158.23.84.139,8443,443,TRUE,DFW,North America,Dallas,364,8.42
20.25.205.37,8443,443,TRUE,ORD,North America,Chicago,362,8.42
13.68.186.91,443,443,TRUE,EWR,North America,Newark,391,8.38
20.151.60.161,8443,443,TRUE,YYZ,North America,Toronto,381,8.36
48.217.34.120,443,443,TRUE,EWR,North America,Newark,434,8.35
4.255.56.138,443,443,TRUE,IAD,North America,Ashburn,294,8.3
20.33.30.36,2083,443,TRUE,LAX,North America,Los Angeles,369,8.26
20.220.29.122,2053,443,TRUE,YYZ,North America,Toronto,464,8.04
20.151.90.208,8443,443,TRUE,YYZ,North America,Toronto,438,8.01
20.36.131.211,443,443,TRUE,IAD,North America,Ashburn,337,8.01
20.121.115.188,443,443,TRUE,IAD,North America,Ashburn,293,7.95
74.249.233.213,443,443,TRUE,ORD,North America,Chicago,310,7.92
20.127.201.36,443,443,TRUE,IAD,North America,Ashburn,356,7.9
20.151.63.165,8443,443,TRUE,YYZ,North America,Toronto,353,7.84
20.228.249.211,2053,443,TRUE,EWR,North America,Newark,322,7.81
20.228.249.211,8443,443,TRUE,IAD,North America,Ashburn,437,7.6
40.123.42.160,8443,443,TRUE,IAD,North America,Ashburn,518,7.59
52.165.82.62,443,443,TRUE,ORD,North America,Chicago,400,7.55
172.210.128.52,8443,443,TRUE,IAD,North America,Ashburn,413,7.54
20.246.127.166,443,443,TRUE,IAD,North America,Ashburn,477,7.54
20.109.23.42,443,443,TRUE,IAD,North America,Ashburn,223,7.51
172.210.128.52,2053,443,TRUE,IAD,North America,Ashburn,472,7.39
172.177.248.69,8443,443,TRUE,IAD,North America,Ashburn,305,7.35
172.212.108.47,443,443,TRUE,EWR,North America,Newark,230,7.26
104.210.3.231,8443,443,TRUE,IAD,North America,Ashburn,460,7.25
40.123.47.252,8443,443,TRUE,IAD,North America,Ashburn,697,7.18
40.79.73.114,8443,443,TRUE,IAD,North America,Ashburn,413,7.13
20.200.127.8,8443,443,TRUE,YYZ,North America,Toronto,563,7.09
172.200.2.241,443,443,TRUE,IAD,North America,Ashburn,247,6.83
4.239.248.70,8443,443,TRUE,YYZ,North America,Toronto,352,6.81
4.206.223.188,8443,443,TRUE,YYZ,North America,Toronto,484,6.77
172.174.249.255,443,443,TRUE,IAD,North America,Ashburn,324,6.73
4.172.225.82,8443,443,TRUE,YYZ,North America,Toronto,413,6.55
4.172.225.98,8443,443,TRUE,YYZ,North America,Toronto,255,6.4
4.248.47.209,8443,443,TRUE,YUL,North America,Montréal,322,5.85
172.208.44.21,443,443,TRUE,IAD,North America,Ashburn,392,5.64
4.221.60.243,2053,443,TRUE,JNB,Africa,Johannesburg,371,5.12
4.221.60.243,8443,443,TRUE,JNB,Africa,Johannesburg,298,4.75
191.235.86.71,8443,443,TRUE,GRU,South America,São Paulo,342,3.44
13.88.29.102,443,443,TRUE,SJC,North America,San Jose,168,2.07
98.67.149.214,2053,443,TRUE,FRA,Europe,Frankfurt,214,1
